autoid,From,To,Date,Subject
318,Linda.Lagos@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/8/14 18:28,RE: Does anyone have ...
319,Benito.Hawelon@gastech.com.kronos,"Benito.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos",1/8/14 18:53,RE: New refueling policies - Effective February 1
320,Lars.Azada@gastech.com.kronos,"Adra.Nubarron@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos",1/8/14 19:01,RE: Field work rotation schedule
321,Sven.Flecha@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/8/14 19:15,RE: Question about behavior of field device
322,Henk.Mies@gastech.com.kronos,"Albina.Hafon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos",1/8/14 19:15,RE: Don't text and drive!
323,Dylan.Scozzese@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/8/14 19:22,RE: Don't text and drive!
324,Varro.Awelon@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos",1/8/14 19:42,RE: New refueling policies - Effective February 1
325,Adra.Nubarron@gastech.com.kronos,"Adra.Nubarron@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos",1/8/14 19:48,RE: Field work rotation schedule
326,Henk.Mies@gastech.com.kronos,"Cecilia.Morluniau@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dante.Coginian@gastech.com.kronos",1/8/14 19:54,RE: Don't text and drive!
327,Lars.Azada@gastech.com.kronos,"Adra.Nubarron@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos",1/8/14 19:56,RE: Field work rotation schedule
328,Cornelia.Lais@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/8/14 20:02,RE: Does anyone have ...
329,Lidelse.Dedos@gastech.com.kronos,"Adra.Nubarron@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos",1/8/14 20:22,RE: Field work rotation schedule
330,Lars.Azada@gastech.com.kronos,"Adra.Nubarron@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos",1/8/14 20:52,RE: Field work rotation schedule
331,Lars.Azada@gastech.com.kronos,"Adra.Nubarron@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos",1/8/14 20:53,RE: Field work rotation schedule
332,Sven.Flecha@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/8/14 21:04,RE: Question about behavior of field device
333,Sven.Flecha@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/8/14 21:09,RE: Question about behavior of field device
334,Lars.Azada@gastech.com.kronos,"Adra.Nubarron@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos",1/8/14 21:18,RE: Field work rotation schedule
335,Claudio.Hawelon@gastech.com.kronos,"Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/9/14 8:41,Funny!!
336,Ingrid.Barranco@gastech.com.kronos,"Sten.Sanjorge.Jr.@gastech.com.tethys, Willem.Vasco-Pais@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",1/9/14 9:51,Impact of local politics on profit margin
337,Albina.Hafon@gastech.com.kronos,"Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/9/14 10:12,RE: Funny!!
338,Ruscella.Mies.Haber@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",1/9/14 10:21,"Good morning, GasTech!"
339,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/9/14 10:23,Can anyone swap on-call slots with me?
340,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/9/14 10:49,Security patches needed
341,Cecilia.Morluniau@gastech.com.kronos,"Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/9/14 10:50,RE: Funny!!
342,Felix.Balas@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,1/9/14 11:14,Congratulations on your service anniversary
343,Ada.Campo-Corrente@gastech.com.kronos,"Sten.Sanjorge.Jr.@gastech.com.tethys, Willem.Vasco-Pais@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",1/9/14 11:25,RE: Impact of local politics on profit margin
344,Hideki.Cocinaro@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/9/14 11:31,Tools
345,Adan.Morlun@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/9/14 11:36,Union meeting
346,Edvard.Vann@gastech.com.kronos,"Kanon.Herrero@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Felix.Resumir@gastech.com.kronos",1/9/14 11:37,Security procedures for January 20 VIP visit
347,Willem.Vasco-Pais@gastech.com.kronos,"Sten.Sanjorge.Jr.@gastech.com.tethys, Willem.Vasco-Pais@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",1/9/14 11:41,RE: Impact of local politics on profit margin
348,Sten.Sanjorge.Jr.@gastech.com.tethys,"Sten.Sanjorge.Jr.@gastech.com.tethys, Willem.Vasco-Pais@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",1/9/14 11:42,RE: Impact of local politics on profit margin
349,Albina.Hafon@gastech.com.kronos,"Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/9/14 11:47,RE: Funny!!
350,Isia.Vann@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/9/14 11:51,Awwww- cute!
351,Irene.Nant@gastech.com.kronos,"Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/9/14 12:24,RE: Funny!!
352,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/9/14 12:33,RE: Security patches needed
353,Albina.Hafon@gastech.com.kronos,"Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/9/14 12:36,RE: Funny!!
354,Dante.Coginian@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,1/9/14 12:48,Document stuck
355,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/9/14 12:49,RE: Security patches needed
356,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/9/14 12:57,RE: Security patches needed
357,Dante.Coginian@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,1/9/14 12:58,RE: Tools
358,Axel.Calzas@gastech.com.kronos,"Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lars.Azada@gastech.com.kronos",1/9/14 13:02,Field work rotation schedule
359,Cornelia.Lais@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/9/14 13:02,You never get a second chance to make a first impression
360,Isak.Baza@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/9/14 13:05,RE: Can anyone swap on-call slots with me?
361,Lucas.Alcazar@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",1/9/14 13:10,Software review report
362,Ada.Campo-Corrente@gastech.com.kronos,"Sten.Sanjorge.Jr.@gastech.com.tethys, Willem.Vasco-Pais@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",1/9/14 13:11,RE: Impact of local politics on profit margin
363,Hideki.Cocinaro@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/9/14 13:15,RE: Tools
364,Mat.Bramar@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",1/9/14 13:19,Remember Casino night!
365,Willem.Vasco-Pais@gastech.com.kronos,"Sten.Sanjorge.Jr.@gastech.com.tethys, Willem.Vasco-Pais@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",1/9/14 13:31,RE: Impact of local politics on profit margin
366,Rachel.Pantanal@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1/9/14 13:38,Files
367,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/9/14 13:45,RE: Security patches needed
368,Orhan.Strum@gastech.com.kronos,"Sten.Sanjorge.Jr.@gastech.com.tethys, Willem.Vasco-Pais@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",1/9/14 13:49,RE: Impact of local politics on profit margin
369,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/9/14 13:50,RE: Security patches needed
370,Sven.Flecha@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",1/9/14 14:03,RE: Software review report
371,Hennie.Osvaldo@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/9/14 14:05,RE: Files
372,Stenig.Fusil@gastech.com.kronos,"Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos",1/9/14 14:12,Security update: how to handle reporters on the grounds
373,Dante.Coginian@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,1/9/14 14:17,RE: Tools
374,Axel.Calzas@gastech.com.kronos,"Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lars.Azada@gastech.com.kronos",1/9/14 14:18,RE: Field work rotation schedule
375,Elsa.Orilla@gastech.com.kronos,"Elsa.Orilla@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos",1/9/14 14:22,GIS update
376,Hideki.Cocinaro@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/9/14 14:27,RE: Tools
377,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/9/14 14:28,RE: Security patches needed
378,Rachel.Pantanal@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,1/9/14 14:29,RE: Files
379,Lars.Azada@gastech.com.kronos,"Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lars.Azada@gastech.com.kronos",1/9/14 14:32,RE: Field work rotation schedule
380,Adan.Morlun@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/9/14 14:34,RE: Union meeting
381,Claudio.Hawelon@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/9/14 14:36,RE: Awwww- cute!
382,Adan.Morlun@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/9/14 14:38,RE: Document stuck
383,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/9/14 14:39,Facilities preparations for VIP visit
384,Isia.Vann@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/9/14 14:49,RE: Awwww- cute!
385,Claudio.Hawelon@gastech.com.kronos,Isia.Vann@gastech.com.kronos,1/9/14 14:50,RE: Awwww- cute!
386,Isia.Vann@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/9/14 14:57,RE: Awwww- cute!
387,Axel.Calzas@gastech.com.kronos,"Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lars.Azada@gastech.com.kronos",1/9/14 14:57,RE: Field work rotation schedule
388,Ruscella.Mies.Haber@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/9/14 14:59,RE: You never get a second chance to make a first impression
389,Axel.Calzas@gastech.com.kronos,"Elsa.Orilla@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos",1/9/14 15:00,RE: GIS update
390,Lars.Azada@gastech.com.kronos,"Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lars.Azada@gastech.com.kronos",1/9/14 15:01,RE: Field work rotation schedule
391,Felix.Resumir@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1/9/14 15:04,They need that report today
392,Felix.Resumir@gastech.com.kronos,"Kanon.Herrero@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Felix.Resumir@gastech.com.kronos",1/9/14 15:05,RE: Security procedures for January 20 VIP visit
393,Elsa.Orilla@gastech.com.kronos,"Elsa.Orilla@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos",1/9/14 15:09,RE: GIS update
394,Hennie.Osvaldo@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/9/14 15:10,RE: Files
395,Kare.Orilla@gastech.com.kronos,"Gustav.Cazar@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Axel.Calzas@gastech.com.kronos",1/9/14 15:13,GIS update
396,Irene.Nant@gastech.com.kronos,"Dylan.Scozzese@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos",1/9/14 15:13,RE: Facilities preparations for VIP visit
397,Ada.Campo-Corrente@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.tethys",1/9/14 15:17,Impromptu golf vacation - who's in?
398,Dylan.Scozzese@gastech.com.kronos,"Albina.Hafon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/9/14 15:25,RE: Facilities preparations for VIP visit
399,Elsa.Orilla@gastech.com.kronos,"Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lars.Azada@gastech.com.kronos",1/9/14 15:29,RE: Field work rotation schedule
400,Emile.Arpa@gastech.com.kronos,"Dante.Coginian@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/9/14 15:35,RE: Facilities preparations for VIP visit
401,Elsa.Orilla@gastech.com.kronos,"Elsa.Orilla@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos",1/9/14 15:42,RE: GIS update
402,Dante.Coginian@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,1/9/14 15:58,RE: Document stuck
403,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/9/14 16:01,Don't text and drive!
